"restaurant name",city,"average cost for two",cost_rnk
"Gola Sizzlers","New Delhi",1600,532
"Kinbuck 2","New Delhi",1600,533
Tamasha,"New Delhi",1600,534
"The Vault Cafe","New Delhi",1600,535
Veda,"New Delhi",1600,536
Zizo,"New Delhi",1600,537
"38 Barracks","New Delhi",1600,538
"Barbeque Nation","New Delhi",1600,539
"Odeon Social","New Delhi",1600,540
"Unplugged Courtyard","New Delhi",1600,541
MB's,"New Delhi",1600,542
"Moet's Sizzlers","New Delhi",1600,543
"Def Col Social","New Delhi",1600,544
"Number 31","New Delhi",1600,545
"Cafe E","New Delhi",1600,546
"The Flying Saucer Cafe","New Delhi",1600,547
"Barbeque Nation","New Delhi",1600,548
"Grills & Platters","New Delhi",1600,549
"Elf Cafe & Bar","New Delhi",1600,550
"Fork You","New Delhi",1600,551
"Hauz Khas Social","New Delhi",1600,552
"Smoke House Deli","New Delhi",1600,553
"Barbeque Nation","New Delhi",1600,554
Palomino,"New Delhi",1600,555
Mamagoto,"New Delhi",1600,556
"JAIL - Behind The Bar","New Delhi",1600,557
"Barbeque Nation","New Delhi",1600,558
"Hinglish - Cafe Beach Bar","New Delhi",1600,559
"Chor Bizarre","New Delhi",1600,560
"Bromfy Public House","New Delhi",1600,561
"The Post Office Cafe","New Delhi",1600,562
"Harry's Bar + Cafe","New Delhi",1600,563
"Punjab Grill","New Delhi",1600,564
"Tea Lounge - The Ashok","New Delhi",1600,565
"Le Petit Cafe - The Lalit New Delhi","New Delhi",1600,566
"TabulaBeach Cafe","New Delhi",1600,567
PizzaExpress,Noida,1600,568
Zizo,Noida,1600,569
Mamagoto,Noida,1600,570
"Barbeque Nation",Noida,1600,571
"Gola Sizzlers",Noida,1600,572
"Bamboo Shoots",Noida,1600,573
"The Patiala Kkitchen",Noida,1600,574
"The Yellow Chilli",Noida,1600,575
"Spice Court - Hotel Maurya",Patna,1600,576
"Barbeque Nation",Vizag,1600,577
"Cafe Rendezvous","New Delhi",1550,578
"LIT Ultrabar",Noida,1550,579
Zai,"New Delhi",1550,580
"52 Janpath","New Delhi",1550,581
"Cafe 27","New Delhi",1550,582
